slug,n_ep,scaffold_m,structure_m,neardup_m,reuse_m
inferredbugs-teacher-glm46-131k,25,0.3445540948931385,0.1770022534066424,0.12040106436985967,0.48178608361322894
inferredbugs-teacher-glm47,25,0.5031155203700339,0.17202833136418227,0.1907859862036232,0.48749057514449723
inferredbugs-teacher-minimax-m27,25,0.183881527607141,0.1569690418714342,0.13005095440051312,0.497733010365509
inferredbugs-teacher-qwen35-122b,25,0.12464161054333524,0.14666423011472568,0.09398117386780108,0.516392369587779
inferredbugs-teacher-kimi25,25,0.5582049343374583,0.18119931155536384,0.1683692819152772,0.42503317156609355
inferredbugs-teacher-gpt5nano,25,0.545630230699537,0.18493073058449244,0.14379800323921332,0.2968306940512984
inferredbugs-tasks-clean,25,0.645719319289302,0.15210777490554783,0.05464386543718078,0.4736674522813785
agentnet-actions,25,0.09654017857142858,0.34261010537692516,0.004538510600777947,0.4212046311326359
rebel-alfworld-actions,25,0.5964972527472527,0.09038262668045502,0.037126168897049866,0.5341801242236025
jetbrains-swe-assistant-only,25,0.07227050839385642,0.16562147395926125,0.009064894099842109,0.38318533032993257
swe-rebench-oh-assistant-only,25,0.11284650067929325,0.10370217784671061,0.01901460279486723,0.4115614103700289
jetbrains-swesmith-subset,25,0.5432594592344606,0.20676364926597773,0.19071110902642582,0.31230691673296057
gdpval-tasks,25,0.030479070507719242,0.05381199387991193,0.0016790809472134098,0.34238730498931774
